,ReportDate,Region,CaseCategory,INTERNALDESC,Total_Cases,Filed,Pending_At_TakeOver,Abandoned,Granted,Transferred,Withdrawn,Closed,Granted_At_TakeOver,Coalesced_Closed_Events,PROPERTYTYPE,CaseRefs (0-1),CaseRefs (1-2),CaseRefs (2-4),CaseRefs (4-8),CaseRefs (8-16),CaseRefs (16+)
44,2019-11-30 00:00:00,EP,Patent,Abandoned by client,284,245,39,284,9,0,72,0,0,284,P,,,,,,
45,2019-11-30 00:00:00,EP,Patent,Dead,13150,13003,0,5252,0,39,440,116,7762,5404,P,,,,,,
46,2019-11-30 00:00:00,EP,Patent,File Closed,7156,4978,1021,2493,2430,740,267,288,1245,5856,P,,,,,,
47,2019-11-30 00:00:00,EP,Patent,File Destroyed,3135,2987,19,1411,1138,97,127,26,399,2654,P,,,,,,
48,2019-11-30 00:00:00,EP,Patent,File Microfilmed/Scanned,11548,10721,643,4661,4024,1505,672,116,1284,10203,P,,,,,,
49,2019-11-30 00:00:00,EP,Patent,Never filed,1,0,0,0,0,0,0,0,0,0,P,,,,,,
50,2019-11-30 00:00:00,EP,Patent,No WIP - Internal Status,1,1,0,0,1,0,0,0,0,1,P,,,,,,
51,2019-11-30 00:00:00,EP,Patent,Not yet filed,310,0,0,0,0,0,0,0,0,0,P,,,,,,
52,2019-11-30 00:00:00,EP,Patent,Opened for WIP Only,128,103,17,95,28,5,3,0,10,122,P,,,,,,
53,2019-11-30 00:00:00,EP,Patent,Pending,6135,5609,526,0,0,0,0,0,0,0,P,,,,,,
54,2019-11-30 00:00:00,EP,Patent,Registered,1138,948,149,0,1092,0,0,0,46,1092,P,,,,,,
55,2019-11-30 00:00:00,EP,Patent,Transferred elsewhere,50,43,4,11,4,50,4,0,3,50,P,,,,,,
56,2019-11-30 00:00:00,Foreign,Patent,Abandoned by client,379,354,17,378,21,1,0,0,4,379,P,,,,,,
57,2019-11-30 00:00:00,Foreign,Patent,Dead,4764,4616,0,2302,0,0,1,383,2055,2686,P,,,,,,
58,2019-11-30 00:00:00,Foreign,Patent,File Closed,4924,3850,526,1343,1185,243,0,334,1754,3079,P,,,,,,
59,2019-11-30 00:00:00,Foreign,Patent,File Destroyed,1123,953,2,483,272,26,0,158,90,904,P,,,,,,
60,2019-11-30 00:00:00,Foreign,Patent,File Microfilmed/Scanned,8962,7182,1555,4090,2988,858,0,381,809,8167,P,,,,,,
61,2019-11-30 00:00:00,Foreign,Patent,Never filed,69,0,0,42,0,1,0,0,0,43,P,,,,,,
62,2019-11-30 00:00:00,Foreign,Patent,Not yet filed,338,0,0,0,0,0,0,0,0,0,P,,,,,,
